timestamp,Temperature,Relative Humidity ,Wind Speed,Wind Direction,Basel Cloud Cover Total,Shortwave Radiation,Soil Temperature
20131121T2100,3.1805286,85,13.608762,322.52383,100,0,5.130005
20131121T2200,3.2605286,87,11.792404,328.73627,100,0,4.9400024
20131121T2300,3.4305286,90,12.496719,348.3664,100,0,4.860016
20131122T0000,3.5005286,89,15.124284,358.63608,100,0,4.830017
20131122T0100,2.9605286,90,18.36353,1.1233063,100,0,4.720001
20131122T0200,2.7805285,89,17.283749,358.80652,100,0,4.5500183
20131122T0300,2.4905286,90,17.673029,356.4965,100,0,4.369995
20131122T0400,2.4105287,91,17.283749,358.80652,100,0,4.230011
20131122T0500,2.1205285,89,18.03237,356.5664,100,0,3.8099976
20131122T0600,1.3105286,92,16.09969,349.69516,100,0,3.6700134
20131122T0700,0.8805287,93,18,343.7398,100,0,3.5400085
20131122T0800,0.90052867,92,15.827721,342.80148,100,0,3.4299927
20131122T0900,0.91052866,94,11.525623,345.52972,100,16.02,3.4400024
20131122T1000,1.1205287,92,11.966953,338.83875,100,63.19,3.600006
20131122T1100,2.1305285,87,12.768586,338.49857,100,172.66,4.26001
20131122T1200,2.9405286,82,15.807239,329.93143,100,210.04,5.0599976
20131122T1300,2.8705285,81,19.05281,337.7965,100,209.15,5.6900024
20131122T1400,3.3905284,79,17.906157,329.82648,100,223.39,6.3099976
20131122T1500,3.6905286,80,17.906157,329.82648,100,189.56999,6.700012
20131122T1600,3.4805286,83,17.673029,326.63367,100,104.13,6.5700073
20131122T1700,3.2405286,86,16.279802,324.90417,100,20.47,6.0400085
20131122T1800,2.8505285,90,15.683774,328.13403,100,0,5.5500183
20131122T1900,2.4005284,91,15.629971,331.0736,100,0,5.1400146
20131122T2000,2.1805286,93,10.495713,329.03625,100,0,4.8200073
20131122T2100,2.3105285,93,7.2,306.8699,100,0,4.610016
20131122T2200,2.4905286,92,4.73506,278.74615,100,0,4.470001
20131122T2300,2.3205285,91,6.193674,234.46233,100,0,4.369995
20131123T0000,2.1105285,89,5.8048253,240.25513,100,0,4.25
20131123T0100,1.9205287,86,5.3517847,199.65382,100,0,4.119995
20131123T0200,1.4805287,84,6.519877,186.3402,100,0,3.980011
20131123T0300,1.7405287,81,4.198285,210.96376,100,0,3.8399963
20131123T0400,1.8205286,82,3.396233,212.00539,100,0,3.75
20131123T0500,1.7805287,94,19.45333,357.8789,100,0,3.619995
20131123T0600,1.8705287,92,14.04,360,100,0,3.5100098
20131123T0700,2.0505285,92,15.5843,353.3675,100,0,3.4500122
20131123T0800,2.2005286,94,14.440443,355.71088,100,0,3.4599915
20131123T0900,2.9205287,89,13.324863,358.45184,100,40.94,3.7700195
20131123T1000,4.3105288,81,13.32,360,100,164.65,4.7900085
20131123T1100,5.540529,74,15.281989,15.018356,100,246.53,6.0599976
20131123T1200,6.4905286,70,19.483284,16.090805,100,190.45999,6.9299927
20131123T1300,6.7705283,73,23.664352,13.190598,100,164.65,7.450012
20131123T1400,8.100529,64,23.03156,24.962784,100,160.2,7.9599915
20131123T1500,8.200529,63,23.847115,28.886566,100,103.24,8.160004
20131123T1600,8.030529,70,24.86868,22.109436,100,59.629997,8.110016
20131123T1700,7.1705284,81,24.280659,15.478622,100,12.46,7.75
20131123T1800,6.4705286,82,22.61419,13.815018,100,0,7.3000183
20131123T1900,5.7105284,86,18.998314,9.81929,100,0,6.880005
20131123T2000,5.3505287,88,18.448023,5.5993347,100,0,6.51001
20131123T2100,4.9705286,88,18.72,360,100,0,6.1900024
20131123T2200,4.4805284,88,17.106628,351.52887,100,0,5.869995
20131123T2300,3.9005284,91,18.079027,347.34744,100,0,5.5599976
20131124T0000,3.3605285,92,19.734436,345.20325,100,0,5.25
20131124T0100,2.8105285,92,18.511143,346.50427,100,0,4.9299927
20131124T0200,2.5805285,91,16.071491,344.4072,100,0,4.649994
20131124T0300,2.3005285,91,13.708391,346.32867,100,0,4.4100037
20131124T0400,2.0305285,90,11.165805,339.22775,100,0,4.200012
20131124T0500,4.1405287,93,14.764389,1.397171,100,0,4.730011
20131124T0600,4.1005287,94,13.75558,353.991,100,0,4.8000183
20131124T0700,3.9505286,95,13.039754,353.65985,100,0,4.8200073
20131124T0800,4.000529,94,11.525623,358.21008,100,0,4.830017
20131124T0900,4.4205284,90,12.245294,1.6846771,100,31.15,5.0500183
20131124T1000,5.5605288,79,14.408997,12.994629,100,78.32,5.5700073
20131124T1100,6.9505286,66,16.62249,17.650116,100,134.39,6.4400024
20131124T1200,7.6105285,62,18.59845,14.5742035,100,207.37,7.5599976
20131124T1300,7.9905286,60,19.829433,15.8025055,100,286.58,8.77002
20131124T1400,8.100529,59,21.518847,17.525558,100,174.44,9.070007
20131124T1500,7.8705287,60,23.000591,17.300507,100,124.6,9.059998
20131124T1600,7.3105288,65,23.749088,14.03624,100,89,8.77002
20131124T1700,6.3505287,71,22.42427,5.527527,100,18.69,8.119995
20131124T1800,5.6205287,66,20.957443,4.927109,100,0,7.399994
20131124T1900,5.0605288,64,15.856356,2.6025543,100,0,6.8900146
20131124T2000,4.1705284,72,9.826088,351.57306,100,0,6.360016
20131124T2100,3.8505285,76,6.9247384,332.10272,100,0,5.880005
20131124T2200,4.1905284,77,6.4096174,308.15723,100,0,5.700012
20131124T2300,4.1805286,83,10.805998,330.01837,100,0,5.580017
20131125T0000,3.8305285,77,27.959742,11.888657,100,0,5.399994
20131125T0100,3.3305285,77,24.858253,10.00798,100,0,5.119995
20131125T0200,2.3305285,80,19.829433,3.122116,100,0,4.8200073
20131125T0300,1.0205287,84,18.014393,357.7094,100,0,4.2099915
20131125T0400,1.3705287,79,13.849476,8.972626,100,0,3.830017
20131125T0500,0.47052866,87,15.119999,360,100,0,3.399994
20131125T0600,0.33052868,85,8.825508,11.76828,95,0,2.830017
20131125T0700,0.90052867,78,7.771331,13.392487,100,0,2.730011
20131125T0800,0.39052868,76,7.8625183,15.945404,30,0,2.5899963
20131125T0900,0.25052866,73,7.289445,32.905228,1,76.54,2.4700012
20131125T1000,1.1805286,62,6.12,28.07248,0,205.59,3.1600037
20131125T1100,2.4205287,52,6.9153743,51.34018,0,302.6,4.3200073
20131125T1200,3.6305285,40,9.511088,60.524117,0,363.12,5.610016
20131125T1300,4.290529,37,10.703569,42.27368,0,375.58,6.6799927
20131125T1400,4.5705285,37,12.768586,21.501434,0,341.76,7.3000183
20131125T1500,4.3805285,39,15.596767,18.85315,0,264.33,7.2900085
20131125T1600,3.7005286,48,17.771753,6.981064,0,150.41,6.619995
20131125T1700,2.4405286,60,14.869351,6.952957,0,25.81,5.380005
20131125T1800,1.7005286,61,8.12197,12.804245,4,0,4.26001
20131125T1900,1.5905286,59,1.08,270,87,0,3.580017
20131125T2000,1.6405287,56,5.3517847,227.72632,96,0,3.1900024
20131125T2100,1.8705287,57,3.219938,243.43495,100,0,3.1700134
20131125T2200,1.9005287,57,2.8799999,360,100,0,3.330017
20131125T2300,1.3605287,65,0.35999998,360,100,0,3.369995
20131126T0000,1.1205287,69,1.8,323.13013,100,0,3.2900085
20131126T0100,1.7105286,75,1.1384199,341.56506,100,0,3.2400208
20131126T0200,1.5305287,79,2.8799999,270,100,0,3.1900024
20131126T0300,1.2205287,81,3.7585104,286.69925,100,0,3.1100159
20131126T0400,0.90052867,83,5.3999996,306.8699,100,0,3.0299988
20131126T0500,0.99052864,91,14.84318,14.03624,100,0,3.0299988
20131126T0600,1.2905287,88,6.830519,71.56504,100,0,3.0200195
20131126T0700,1.6305287,77,10.182337,98.1301,100,0,3.0599976
20131126T0800,0.26052865,82,7.729527,62.241455,0,0,2.5700073
20131126T0900,0.39052868,75,7.8954163,43.15239,0,72.09,2.3900146
20131126T1000,1.4405286,59,10.383987,56.30993,0,198.47,3.0700073
20131126T1100,2.9305286,49,15.94601,61.699234,10,294.59,4.2900085
20131126T1200,3.5805285,45,22.553936,61.38954,10,299.93,5.470001
20131126T1300,3.9405286,39,25.40743,69.253914,51,249.2,6.2700195
20131126T1400,4.000529,38,25.478743,66.69511,55,339.09,6.980011
20131126T1500,3.9705286,39,24.967497,61.587326,51,264.33,7.080017
20131126T1600,3.5605285,43,21.26744,56.04094,0,151.3,6.4900208
20131126T1700,2.7705286,51,12.819235,51.842773,12,25.81,5.2900085
20131126T1800,1.5405287,59,11.090103,54.2461,11,0,4.200012
20131126T1900,0.65052867,64,7.0911775,66.037506,43,0,3.3000183
20131126T2000,0.80052865,66,3.8773184,68.19859,64,0,2.7099915
20131126T2100,1.2405287,66,1.484318,14.03624,100,0,2.4100037
20131126T2200,-0.22947133,73,2.6208394,344.0546,8,0,1.9100037
20131126T2300,-0.88947135,76,3.9763298,5.194412,38,0,1.3999939
20131127T0000,-1.2494713,81,5.904439,37.568573,0,0,0.9200134
20131127T0100,-1.2094713,83,2.9024127,97.125015,9,0,0.5299988
20131127T0200,-1.6994714,87,3.319036,139.3987,0,0,0.17999268
20131127T0300,-1.7794713,89,3.6,89.99999,0,0,-0.13000488
20131127T0400,-2.1394715,91,8.4042845,80.134186,0,0,-0.3999939
20131127T0500,-2.8694715,85,3.7064266,60.945396,0,0,-0.6999817
20131127T0600,-3.1594715,86,5.0528407,85.91438,0,0,-1.0499878
20131127T0700,-3.1894715,83,4.73506,98.74616,0,0,-1.3399963
20131127T0800,-3.3194714,82,4.6800003,112.61986,0,0,-1.6000061
20131127T0900,-2.0994716,73,6.4799995,89.99999,0,69.42,-1.2900085
20131127T1000,0.20052865,58,14.044615,88.53119,0,200.25,-0.070007324
20131127T1100,1.7005286,47,19.881649,84.805565,0,298.15,1.5500183
20131127T1200,2.9105287,39,21.67487,78.503426,0,357.78,3.130005
20131127T1300,3.6305285,34,23.023119,80.09581,0,372.91,4.4299927
20131127T1400,4.020529,35,22.461807,83.5584,0,339.97998,5.2400208
20131127T1500,3.8705285,39,20.570463,85.98582,0,262.55,5.4400024
20131127T1600,3.3805285,43,16.167967,78.439865,3,157.53,5.029999
20131127T1700,2.4405286,49,11.435313,61.821404,2.7,27.59,3.9900208
20131127T1800,1.2705287,54,8.78872,55.007973,0,0,2.980011
20131127T1900,0.050528657,59,6.151683,69.443954,0,0,2.080017
20131127T2000,-0.7394713,62,4.379589,99.46232,35,0,1.3000183
20131127T2100,-1.1994714,64,1.8,126.869896,0,0,0.6700134
20131127T2200,-1.6394713,68,0.8049845,116.56505,0,0,0.11999512
20131127T2300,-2.0594714,71,0.8049845,333.43497,0,0,-0.32998657
